node,betweenness,type,k_core,DE
DLG4,0.02624464295653142,Autism 1,True,False
GRIA1,0.01128105229958628,Autism 2,False,True
GRIN2B,0.010905062058217844,"Epilesy 1, Autism 1",False,True
FMR1,0.008942088272944845,"Epilesy 3, Autism 1",False,False
CAMK2B,0.00578386764624033,Autism S,False,False
GRM1,0.005608198363666723,Epilesy 3,True,True
DLG1,0.005362609228029165,Autism 3,False,False
CAMK2A,0.005104844993599377,"Autism 3, Autism S",False,False
RELN,0.0029108921912394947,"Epilesy 2, Autism 1",False,False
GRIA2,0.002856278176657205,Autism 2,False,True
GRIN1,0.0027915762230756387,"Epilesy 3, Autism 2",False,True
HTT,0.0026503450770857685,Epilesy 3,False,False
SYNGAP1,0.002623559859742862,"Epilesy 3, Autism 1",False,False
DLG2,0.002508418211164914,"Epilesy 4, Autism 2",True,False
GRIN2A,0.0023332127418786296,"Epilesy 1, Autism 2",False,True
SLC1A2,0.0018867924528301887,"Epilesy 1, Autism S",False,True
NLGN2,0.001750779206322703,Autism 1,True,False
HTR3A,0.0013389130071798298,Autism 3,False,True
GRM5,0.0012296849780152502,Autism 3,True,True
NRXN1,0.001220988478877943,"Epilesy 3, Autism 1",True,True
