	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17
E1	0.0	0.0	0.0	0.0	8.432989798141934	0.45287563362211325	0.505632050778946	0.4069836133128661	0.0	1.361019500786359	0.0	0.517741483496689	2.023636133738506	0.0	0.0	0.0	6.485028916272959
E2	0.0	1.277905578448067	6.145020487401915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6311466538334783	0.0	0.0	0.0	1.3857558181419452	0.0
E3	0.0	0.0	0.0	14.237143699930828	0.0	0.0	0.0	0.0	11.949556410484819	11.641911040379608	2.6166461842978306	0.0	1.2942905176181752	1.2161686920956154	0.7112410615416371	0.2923175087408077	0.0
E4	0.0	1.671122869522641	0.0	0.0	2.2851703857848507	0.593363815397768	1.7054954556775441	0.0	0.0	0.0	0.0	0.0	0.405396952070535	0.4717256042674283	0.0	0.0	0.0
A1	9.529520429971322	0.0	0.0	0.0	1.1135996548190825	0.0	0.0	3.240809762386685	0.0	0.0	0.0	0.37684436444977104	0.0	0.0	0.0	0.9450365600749013	0.3722306976059292
A2	1.2828124775422567	0.8574729565268595	0.7537884166657659	0.0	1.1234215468079656	0.7188299029913253	0.0	2.7735808965428648	0.0	0.0	0.0	0.42911713039022187	0.458066016637685	0.0	0.0	0.44937994755520727	0.3166995749227387
A3	0.0	0.0	1.2920517851211057	0.0	0.0	1.6011988361379097	1.1995859077347806	0.6920908094605858	0.0	0.0	0.35920214668814887	0.28140985075980474	0.0	0.39620346715156096	1.3475723376488078	0.0	0.28207046370283817
AS	5.0724024149553015	0.34827609756175365	0.26262403869138956	0.0	0.3192856069298227	0.0	0.3647251126125428	0.0	0.0	0.0	0.0	0.8766746243191431	0.29636956943734916	0.0	0.3858191419668426	0.0	0.22490290757696454
common	3.448260404776779	0.0	0.0	0.0	4.8555477251213555	0.0	0.7423214025957626	3.037206653564225	0.0	0.0	0.0	0.7457349589800603	0.7879836732530535	0.0	0.0	0.0	1.856199215188543
DE	0.0	0.0	0.0	0.0	4.157808781259002	2.182835416285532	0.0	12.88828502672867	0.0	0.0	0.4307369723017186	0.0	0.0	0.0	0.0	0.0	7.339118612953135
k-core	0.0	0.0	11.360590841844862	0.0	0.0	22.698744011579024	4.092292659666546	5.745917237546911	0.0	0.0	0.0	22.411120363389568	0.0	0.0	0.0	0.0	0.0
k-core + DE	0.0	0.0	0.0	0.0	0.0	7.505123443912168	1.0643294804254482	9.808049460044778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
schizophrenia	0.0	2.5332684354163906	0.0	0.39134517272398156	0.3745778641441656	2.5808635552198997	1.5491634192986505	8.263535496757582	0.0	0.0	0.3616665129556845	0.0	0.5603479954541923	0.0	0.33584826487603203	0.0	1.1341819065068275
bipolar disorder	0.5098343266142786	0.49963242693421817	0.0	0.0	1.741367365992702	2.692692219849457	0.33577117412794216	6.427334206653028	0.0	0.0	0.0	0.0	0.2825826808786128	0.5318364641319024	0.0	0.0	4.154814692067555
intellectual disability	1.0813410115081412	0.5267506729164736	0.0	0.24793578325795027	0.26577169791092914	0.0	0.0	1.1860901841897233	0.0	0.0	0.0	0.3534557180578183	0.0	0.0	1.079303022192039	0.0	0.0
ePSD	0.0	0.0	0.0	0.7061090440969999	0.7566860418327885	0.0	0.0	21.539041609437586	0.0	0.0	0.0	0.0	0.0	0.0	0.2470833456425724	0.0	0.0
iPSD	0.0	1.122750921380084	0.0	0.0	0.24429401386494592	0.23814847003355086	0.2604179278099288	3.197239020023774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.689981732838021
